sizeMatrix,sizeBlock,threads,duration
16,4,1,0.000349
4,2,1,0.000115
4,2,1,0.000183
4,2,1,0.000202
4,2,1,0.000385
16,4,1,0.000694
4,4,1,0.000171
4,4,1,0.000196
1024,4,1,4.175305
1024,4,1,4.114978
1024,4,1,4.108921
1024,4,1,4.069701
1024,4,1,4.293946
1024,4,4,4.046885
1024,4,2,4.024673
1024,4,2,4.268081
1024,4,2,4.027621
1024,4,2,3.948590
1024,4,2,4.069637
1024,4,2,4.133223
1024,4,2,4.084515
1024,4,2,4.101999
1024,4,4,3.891141
1024,4,4,3.989728
1024,4,8,3.811317
1024,4,8,3.816213
1024,4,8,3.824748
1024,4,6,3.806763
1024,4,32,3.769598
1024,4,32,3.755310
1024,4,128,3.746378
1024,4,128,3.745987
1024,4,128,3.712791
1024,4,2,3.845436
1024,4,2,4.109111
1024,4,1,4.135660
1024,4,1,4.187264
1024,4,2,4.239015
1024,4,2,4.231637
1024,4,2,4.256554
1024,4,4,4.205073
1024,4,4,4.230872
1024,4,8,4.118412
1024,4,8,3.930993
1024,4,4,3.981677
1024,4,2,4.023802
1024,4,128,3.830675
1024,4,128,3.863089
1024,4,128,3.893219
1024,4,128,3.835425
1024,4,128,3.994327
1024,4,128,3.894367
1024,4,128,3.894899
1024,4,128,3.923894
1024,4,128,3.933183
1024,4,128,3.836224
1024,4,128,3.916318
1024,4,128,3.826423
4,4,4,0.071581
4,4,4,0.066662
1024,4,4,3.892721
1024,4,4,3.925355
1024,4,4,3.921123
1024,4,128,3.744315
1024,4,128,3.790550
1024,4,256,3.724937
1024,4,1024,3.829778
1024,4,512,3.739860
1024,4,4,3.907891
1024,4,1,4.120265
1024,4,2,3.809975
4,4,2,0.017010
2048,4,64,39.281666
2048,4,64,41.692252
1024,4,128,3.797978
1024,4,128,3.835160
1024,4,128,3.910564
1024,4,128,3.834092
1024,4,128,3.872482
1024,4,128,3.999834
1024,4,128,3.926723
1024,4,128,3.916141
1024,4,128,3.803327
1024,4,128,3.805102
1024,4,4,5.404790
1024,4,4,3.985446
1024,4,4,4.851464
1024,4,4,4.069297
1024,4,4,4.393279
1024,4,4,4.276891
1024,4,4,4.296698
1024,4,2,4.347982
1024,4,1,4.379963
1024,4,1,4.234635
1024,4,1,4.395566
1024,4,1,4.346158
1024,4,2,4.243925
1024,4,2,3.919427
1024,4,2,3.973137
1024,4,2,4.017714
1024,4,2,4.136402
1024,4,2,3.974575
1024,4,4,3.977902
1024,4,4,3.962766
1024,4,4,3.969993
1024,4,8,3.860351
1024,4,8,3.823424
1024,4,16,3.797127
1024,4,16,3.807822
1024,4,64,3.761187
1024,4,128,3.757549
8,2,1,0.000293
8,2,1,0.000277
8,2,1,0.000201
8,2,1,0.000512
